,logFC,logCPM,F,PValue,FDR
WBGene00000001,0.184842222,2.895182041,1.209467066,0.286594551,0.555208257
WBGene00000002,0.122570284,4.384498714,2.263228698,0.150621105,0.389156549
WBGene00000003,0.135689011,5.557592197,3.049463884,0.098599858,0.302158838
WBGene00000004,-0.127847199,5.894614127,3.184644723,0.091984275,0.289601589
WBGene00000005,-0.563725007,0.655162586,6.439025143,0.021119756,0.108810559
WBGene00000006,-0.103713701,6.604044196,1.283696002,0.272762032,0.540532227
WBGene00000007,-0.684555138,4.653149235,27.72684199,6.08E-05,0.001143785
WBGene00000008,-2.79676265,1.133676109,64.7609075,3.11E-07,1.56E-05
WBGene00000009,-0.300222417,2.172897222,3.091280415,0.096494935,0.297935284
WBGene00000010,-0.072272497,3.102488795,0.365581146,0.553317223,0.772660744
WBGene00000013,0.381620556,0.808670405,0.630364507,0.438040374,0.690179985
WBGene00000016,0.470456905,4.537784199,22.15035705,0.000197505,0.002981509
WBGene00000017,0.514025225,6.132588949,30.17877788,3.80E-05,0.000784201
WBGene00000018,-0.019684651,6.098518823,0.076297015,0.785671719,0.904410806
WBGene00000020,-0.020221568,6.823383512,0.119492075,0.733778408,0.877241106
WBGene00000022,-0.319166643,5.907512263,12.00971859,0.002915707,0.024768132
WBGene00000023,-0.416279849,1.129704352,2.208738581,0.155333111,0.395413218
WBGene00000024,-0.159382176,0.118148616,0.029038001,0.866679988,0.942795855
WBGene00000030,0.529722816,1.172631644,0.319057023,0.579469044,0.790125644
WBGene00000031,0.950372207,4.434080643,0.995108398,0.332326768,0.599897897
WBGene00000033,0.733145327,3.434388276,0.566471969,0.461843006,0.707583132
WBGene00000034,0.974639728,2.981435626,1.030430627,0.324126772,0.592315928
WBGene00000035,-0.412427367,4.917905127,13.11887066,0.002072944,0.019331467
WBGene00000036,0.07608407,6.675953204,0.583013369,0.455481631,0.702665509
WBGene00000037,-0.279038771,5.491260659,8.568716666,0.009319097,0.060507325
WBGene00000038,-0.287801571,2.997239402,4.916718691,0.040347417,0.168797567
WBGene00000039,0.890989274,1.654215643,1.328790518,0.264791929,0.533726978
WBGene00000040,-0.941995536,9.528546334,58.98295773,5.87E-07,2.67E-05
WBGene00000041,0.025542353,11.15072337,0.122228694,0.73087434,0.875357928
WBGene00000042,0.199309445,2.682299577,1.45416695,0.244189644,0.510289022
WBGene00000043,-0.531046988,1.370187462,7.398523852,0.014446714,0.08344431
WBGene00000044,-0.157214356,2.598709643,1.229836366,0.282706654,0.550572174
WBGene00000045,-0.577046848,-0.263266279,2.562775235,0.127614421,0.352869335
WBGene00000046,0.100116903,1.847516458,0.403656803,0.533569952,0.759371802
WBGene00000047,-0.265281428,3.153892384,6.468589762,0.020867819,0.107808818
WBGene00000048,-0.190760267,1.511932386,1.025018051,0.32536474,0.593852118
WBGene00000049,-0.151163973,1.084704655,0.681261989,0.420454991,0.675075752
WBGene00000050,-0.385907881,1.643726849,4.237553461,0.055018647,0.206731711
WBGene00000051,0.087666669,3.295565998,0.136425856,0.716368873,0.867303067
WBGene00000053,-0.031493933,0.626122806,0.018036897,0.894723363,0.956148586
WBGene00000054,-0.11009013,3.1597652,0.763017424,0.394419804,0.65373299
WBGene00000055,-0.061213427,3.123385856,0.186161774,0.671490676,0.845186654
WBGene00000056,-0.096052968,1.707669905,0.218165625,0.646304364,0.831963301
WBGene00000057,0.012976503,2.744402972,0.010619339,0.919115274,0.967307084
WBGene00000058,-0.098628718,4.396667011,0.695920719,0.415595494,0.671364386
WBGene00000059,0.005469206,3.498124474,0.003003016,0.956929568,0.983875121
WBGene00000060,0.118633817,3.067649483,0.788257326,0.386876443,0.647788956
WBGene00000061,-0.041337309,3.260174886,0.09995596,0.755687426,0.889084548
WBGene00000062,0.181351458,1.73719302,0.865557144,0.365064681,0.628120059
WBGene00000063,0.248761107,9.54434278,6.518939713,0.020446593,0.106846333
WBGene00000064,0.023769127,7.12905458,0.038452679,0.846835374,0.932761135
WBGene00000065,0.170146532,8.351052188,3.789616804,0.068094652,0.237675263
WBGene00000066,0.389379755,10.73996689,10.57376501,0.004638618,0.035473803
WBGene00000067,0.279295881,8.699270752,14.78758251,0.001272835,0.013299153
WBGene00000068,0.072080464,6.89515514,1.939603531,0.181456532,0.431234512
WBGene00000069,0.067097364,4.698867186,0.43048946,0.520431467,0.750158426
WBGene00000070,-0.346425426,5.977478231,26.23010751,8.21E-05,0.001466709
WBGene00000071,-0.15092472,4.194777988,1.501749916,0.236920725,0.501578111
