WB_id,logFC_daf16,logFC_double,logFC_daf2
WBGene00000007,0.678877501,0.860152872,-2.759332261
WBGene00000008,2.78819012,2.521629065,-1.217728024
WBGene00000016,-0.476819489,-0.328676196,0.236276533
WBGene00000017,-0.519771489,-0.583183529,0.64802416
WBGene00000022,0.312923483,0.280006778,-0.2380105
WBGene00000035,0.405720308,0.420164615,-0.263038593
WBGene00000040,0.935535291,1.103809011,-0.275530119
WBGene00000066,-0.395378494,-0.447291606,-0.226295713
WBGene00000067,-0.285242596,-0.319593668,-0.38458477
WBGene00000070,0.34005742,0.203086169,-0.291800304
WBGene00000081,0.559755395,0.648707454,-0.44427848
WBGene00000088,0.310856861,0.372509385,0.199924026
WBGene00000090,-0.226463939,-0.131884433,-0.009095546
WBGene00000102,-0.929013225,-0.933117861,0.937042766
WBGene00000103,-0.384398573,-0.309630848,0.899140938
WBGene00000109,0.403992582,0.52012656,-0.470016801
WBGene00000110,-0.29950158,-0.412112432,-0.203361808
WBGene00000115,-0.644137186,-0.827754176,0.35388453
WBGene00000118,-0.261447888,-0.156406255,-0.030944304
WBGene00000138,0.572581745,0.557885286,-0.029019899
WBGene00000147,-0.496724156,-0.525188835,0.02227779
WBGene00000155,0.369020156,0.427717863,-0.054895082
WBGene00000164,0.363524878,0.204270332,0.075781844
WBGene00000169,0.424862678,0.396275083,-0.20959934
WBGene00000170,-0.301435868,-0.36745572,-0.338495945
WBGene00000172,0.505973501,0.589612666,-0.529782823
WBGene00000175,0.786826902,0.753572071,0.113630892
WBGene00000176,1.151328701,1.312031614,0.023999064
WBGene00000186,0.199511516,0.12419271,-0.145019984
WBGene00000195,0.277185446,0.247577123,-0.141647686
WBGene00000198,-0.600358252,-0.543509247,0.05407519
WBGene00000214,1.031898091,1.159099894,-0.158854668
WBGene00000215,0.281007118,0.43030348,0.096492895
WBGene00000216,-0.478859933,-0.160363703,-0.112858458
WBGene00000217,-0.631441574,-0.374889464,0.132318552
WBGene00000245,0.412165631,0.347778361,0.187464645
WBGene00000253,0.240965831,0.318365929,0.064869578
WBGene00000259,-0.226294176,-0.219849058,0.175722725
WBGene00000273,-0.451760209,-0.362645297,0.386934248
WBGene00000276,0.364842645,0.529622768,0.476122644
WBGene00000282,0.317289074,0.178063463,-0.284590078
WBGene00000283,0.410723365,0.569902561,-0.162669623
WBGene00000370,-0.44417643,-0.457488083,0.200639057
WBGene00000372,1.442238973,1.203288069,1.195937619
WBGene00000373,-1.366510294,-1.468989233,-1.813891512
WBGene00000420,0.416281708,0.347857539,-0.080127728
WBGene00000441,0.227848942,0.203132501,0.000284376
WBGene00000465,-1.015179581,-0.47082244,-0.41983708
WBGene00000503,-1.756638069,-1.494548423,0.25564626
WBGene00000528,0.338637421,0.243219753,-0.187977633
WBGene00000529,0.270449592,0.116540531,0.101540515
WBGene00000535,-1.432194342,-1.283081294,1.099162114
WBGene00000539,0.698131005,0.645050215,-0.63726994
WBGene00000542,-0.226289723,-0.240568613,0.254379258
WBGene00000551,-3.229548135,-3.990769627,3.372121655
WBGene00000557,1.126036685,1.280131291,0.534501207
WBGene00000594,-0.856370376,-1.104187923,0.322386584
WBGene00000596,-0.918958578,-0.933622194,0.493760699
WBGene00000616,-1.469005285,-1.407208827,0.594077011
WBGene00000653,-0.688713372,-0.59048378,-0.402138545
WBGene00000656,-2.537465873,-2.27931002,1.426885041
WBGene00000666,-1.40426488,-1.515102593,1.57333639
WBGene00000673,-3.326198863,-3.047343128,1.278617266
WBGene00000677,-2.295663032,-2.387715776,1.007186174
WBGene00000681,-1.42981298,-1.618432388,0.208146688
WBGene00000691,-0.843920362,-1.105690804,0.288665954
WBGene00000715,-1.135763083,-0.441496578,1.434603189
WBGene00000719,-0.873961179,-0.961542091,0.499327116
WBGene00000720,-0.839036193,-0.949249319,0.442995017
WBGene00000726,0.544052533,0.48307393,0.025972805
WBGene00000730,-0.837346407,-0.465237126,-0.26124201
WBGene00000732,-1.483737274,-1.712407864,0.38021606
WBGene00000733,-1.475960784,-1.776304631,0.281856656
WBGene00000739,-0.775220069,-1.175703779,0.170706353
WBGene00000745,-0.865180937,-0.778471412,0.770629549
WBGene00000749,-3.728616279,-3.17364306,1.701315055
WBGene00000754,0.75120305,0.924069529,-0.716286615
WBGene00000779,-1.106396166,-1.31437173,-0.1332841
WBGene00000781,1.796279571,1.913882226,-2.920705528
WBGene00000782,-5.142788962,-4.242896788,2.983407041
WBGene00000784,2.588040997,2.611522453,-4.278907728
WBGene00000785,2.656236731,3.027321569,-3.702785954
WBGene00000786,-1.200339693,-0.813944533,0.207377763
WBGene00000788,0.30124296,0.345189037,0.256015425
WBGene00000799,1.412438457,1.584898377,-1.751456904
WBGene00000802,0.303317921,0.475037065,-0.138000096
WBGene00000815,-0.260175123,-0.299632556,-0.00439881
WBGene00000829,-0.422524464,-0.567965071,0.363108119
WBGene00000830,-0.798901162,-0.879778306,0.695032794
WBGene00000831,-0.739934821,-0.872670739,0.445569932
WBGene00000832,0.328891241,0.510158911,0.131429381
WBGene00000833,0.617218406,0.605853096,0.094416138
WBGene00000834,0.399933349,0.421324562,-0.192285366
WBGene00000853,-1.455120649,-1.707205407,0.835504223
WBGene00000870,-0.332247031,-0.571721136,-0.222482124
WBGene00000872,-0.580351105,-0.63019563,0.754433544
WBGene00000883,-0.505550633,-0.665548079,0.157183083
WBGene00000901,-0.480480401,-0.381931322,0.285474705
WBGene00000905,0.519378973,0.522145233,0.597667843
WBGene00000908,0.352627189,0.31956858,0.191311705
WBGene00000912,-1.648740386,-1.553928863,0.091521419
WBGene00000917,0.347082832,0.140563143,-0.216539035
WBGene00000929,-0.468970592,-0.715883107,0.852020535
WBGene00000932,-1.865764123,-2.307859176,3.279991751
WBGene00000960,0.438885833,0.433487923,-0.342710187
WBGene00000966,-1.386156879,-1.414056176,-0.403478241
WBGene00000967,-0.98386353,-1.199322399,-0.624070798
WBGene00000969,-0.466177454,-0.480312685,0.617523171
WBGene00000971,-1.120848935,-1.121090003,0.38089519
WBGene00000973,-1.558176295,-1.671230466,0.447175984
WBGene00000975,-1.514202296,-1.519476245,0.449607802
WBGene00000976,-0.366974537,-0.378481485,0.144647091
WBGene00000977,-0.559929356,-0.478118107,0.651680261
WBGene00000978,-1.211980838,-1.343260742,0.769377755
WBGene00000983,-1.788580285,-2.384404432,-0.292695028
WBGene00000985,-0.233018817,-0.144294726,0.042346328
WBGene00000991,-0.237615721,-0.384278493,-0.416986945
WBGene00000993,-0.862635049,-1.036819095,0.430818927
WBGene00000996,-0.304607726,-0.469706329,-0.136048273
WBGene00001046,0.640589144,0.376957618,0.749064068
WBGene00001070,-0.752517931,-0.466695485,0.721010357
WBGene00001073,-0.310181061,-0.21858087,0.169667183
WBGene00001077,0.440597417,0.536005132,-0.128909883
WBGene00001079,2.764096718,2.390407028,1.592359688
WBGene00001087,0.235522668,0.32229551,-0.210882847
WBGene00001099,-0.391406678,-0.284483394,0.191646287
WBGene00001113,-0.327128579,-0.438598671,0.156028293
WBGene00001116,0.208169245,0.022201839,-0.15910255
WBGene00001123,0.877475893,0.898766206,-0.645557224
WBGene00001153,-0.448971326,-0.578530758,-0.234749215
WBGene00001155,-1.075126304,-1.155493495,0.188085846
WBGene00001156,-0.943423624,-0.614962857,-0.206467877
WBGene00001157,-0.66527908,-0.870654124,0.104266127
WBGene00001158,0.891722944,1.179178042,0.47222525
WBGene00001169,-0.489321081,-0.532959246,-0.273381827
WBGene00001184,0.296632131,0.251912231,-0.265834353
WBGene00001237,0.602944981,0.1330844,-0.076118613
WBGene00001250,-0.705066431,-0.675360151,-0.531890212
WBGene00001303,-0.359400992,-0.568646036,-0.442628721
WBGene00001386,0.80019346,0.777292461,0.432970222
WBGene00001393,0.804687885,0.854135542,0.080887605
WBGene00001395,0.584900727,0.797350738,-0.583370114
WBGene00001397,-1.171300163,-0.338794307,0.389078504
WBGene00001402,1.1874511,1.236591492,0.257955282
WBGene00001427,-0.395928593,-0.506285231,0.206260474
WBGene00001428,-0.384836881,-0.288588052,-0.153835898
WBGene00001438,-0.859312518,-0.832353486,1.584422579
WBGene00001439,-0.559468644,-0.483398088,0.685982543
WBGene00001446,0.497825573,0.593208916,-0.816452229
WBGene00001447,0.450496406,0.49939011,-0.04093376
WBGene00001448,0.515532233,0.504635165,-0.04776023
WBGene00001452,0.306236278,0.336600757,0.096873855
WBGene00001461,0.499798344,0.485495503,-0.125020466
WBGene00001468,0.717046377,0.58418444,-0.835943937
WBGene00001477,0.638587783,0.673334361,-1.78408565
WBGene00001479,-0.677152474,-0.610091814,0.853802711
WBGene00001491,-0.488015901,-0.523105968,0.478098863
WBGene00001500,-2.165946833,-2.270517105,0.864653673
WBGene00001501,-0.333809601,-0.272018829,-1.129573298
WBGene00001502,-0.419334329,-0.550629077,-0.477034974
WBGene00001523,0.789601767,0.830108931,-0.41531677
WBGene00001530,-2.085332123,-2.509802679,1.018447952
WBGene00001537,0.452425654,0.474865443,-0.386825509
WBGene00001538,0.240543121,0.289257901,0.129632798
WBGene00001539,-1.480744943,-1.754381386,0.871579506
WBGene00001541,0.721963481,0.646859638,-0.421095954
WBGene00001542,-1.513345879,-1.648483248,0.293493452
WBGene00001545,-1.328661529,-1.063221673,0.585759975
WBGene00001546,0.527813211,0.36092553,-0.760210457
WBGene00001549,0.7540165,0.550838825,0.000740407
WBGene00001552,0.944244991,0.84594366,-0.153186256
WBGene00001554,0.619357552,0.569514915,0.097990154
WBGene00001555,0.643567994,0.640017505,-0.225066493
WBGene00001556,0.598152034,0.528557303,-0.462394827
WBGene00001557,0.52096608,0.432474653,-0.553831335
WBGene00001570,-0.304817923,-0.346706046,-0.502998104
WBGene00001572,-0.394227603,-0.559664235,-0.296374171
WBGene00001578,-0.586584704,-0.488496313,-0.396408588
WBGene00001581,-0.687257574,-0.230039931,0.504167162
WBGene00001620,0.297285523,0.18185949,-0.137128939
WBGene00001627,-0.279359047,-0.313483665,0.082330887
WBGene00001629,-0.311647132,-0.310182619,-0.194318566
WBGene00001630,-0.251559958,-0.26782862,-0.129559857
WBGene00001633,-0.576750698,-0.208184979,0.084927523
WBGene00001644,0.524600149,0.381796579,0.164851023
WBGene00001651,-0.511753274,-0.504112837,0.210335064
WBGene00001662,0.252617766,0.390411795,0.237080089
WBGene00001670,0.665057407,0.727307784,0.075347884
WBGene00001674,-0.742003604,-0.683116746,1.308148991
WBGene00001684,-0.576375113,-0.622834901,0.48620849
WBGene00001685,-0.629837598,-0.676526253,0.379285758
WBGene00001692,-3.952209999,-3.762825625,0.513961602
WBGene00001694,-3.931925715,-3.811846163,1.838626801
WBGene00001699,-1.436083178,-1.520813785,-0.01478205
WBGene00001702,-1.343817653,-1.388507473,0.307753614
WBGene00001713,-0.543917894,-0.662242512,-0.141354025
WBGene00001726,1.628956639,2.057321527,-1.285003966
WBGene00001750,-0.852445626,-0.826922508,0.788493923
WBGene00001751,-1.405783801,-1.336426294,1.233065257
WBGene00001752,-1.157373422,-0.952306713,2.001959671
WBGene00001753,-0.497131534,-0.368341055,0.58909118
WBGene00001755,-0.873700444,-0.91535263,0.091028915
WBGene00001756,1.220386612,1.050351014,-0.663080389
WBGene00001758,-0.580095989,-0.082192331,2.011484306
WBGene00001761,-1.068211094,-0.905198915,0.349922677
WBGene00001763,-1.307557147,-1.283245524,1.019625211
WBGene00001764,-0.821958063,-0.536265221,1.535122552
WBGene00001765,1.423246206,1.874824256,-0.544510553
WBGene00001768,-1.359599695,-0.841521003,1.586133426
WBGene00001770,0.432018895,0.333129825,-1.476655017
WBGene00001772,-0.437729745,-0.139544846,0.294618043
WBGene00001776,-0.523647199,-0.627746012,-0.696635658
WBGene00001777,-2.23214049,-2.162842566,0.670363234
WBGene00001780,-0.981249762,-1.233798094,-0.092020154
WBGene00001782,-2.368783391,-2.711501146,0.608246545
WBGene00001789,-1.627177141,-1.568415349,1.353658246
WBGene00001795,0.671275998,0.863312627,-0.232874311
WBGene00001814,0.340381522,0.520944671,-0.38367504
WBGene00001852,-2.442714129,-2.366385517,1.448653561
WBGene00001853,0.6029648,0.611389654,-0.253048575
WBGene00001858,0.550508769,0.462510438,-0.611174009
WBGene00001864,0.565687071,0.4972363,0.301008462
WBGene00001898,0.438287192,0.404258441,-0.322192681
WBGene00001945,0.227213275,0.177308333,0.099779806
WBGene00001957,-1.072827628,-1.632455304,2.234371754
WBGene00001958,1.865325274,0.996307038,0.188917565
WBGene00001991,-0.585266881,-0.411212895,0.056744268
WBGene00002012,-1.948929697,-2.107669537,1.444539249
WBGene00002013,-2.41176882,-3.594076397,2.283889682
WBGene00002025,0.304737047,0.094883115,0.108828401
WBGene00002037,0.302795179,0.318148558,-0.242598809
WBGene00002041,-0.303013748,-0.346736472,-0.04265164
WBGene00002043,-0.486910627,-0.567286705,-0.560968876
WBGene00002053,0.332214982,0.35966123,-0.519327443
WBGene00002054,-0.38883154,-0.182261805,0.046664875
WBGene00002055,-0.809374809,-1.038108991,-0.114644281
WBGene00002067,-0.407648887,-0.409874477,0.039361931
WBGene00002071,-0.275671172,-0.348491719,-0.263524416
WBGene00002087,-1.848931775,-1.655585485,-0.638116994
WBGene00002088,-2.23662787,-1.837200597,2.288335153
WBGene00002089,-1.196076975,-1.180566743,0.573833102
WBGene00002105,0.911494697,0.857881716,0.846846309
WBGene00002107,-2.533868875,-2.308620934,0.437913452
WBGene00002109,-2.511831898,-2.403345126,1.679925391
WBGene00002110,-1.441819735,-1.444173881,0.903171949
WBGene00002113,-2.476481161,-2.451920323,0.887742806
WBGene00002118,-2.03341656,-2.254850391,-0.489210709
WBGene00002127,0.322658263,0.307483742,0.061175756
WBGene00002133,-0.415794358,-0.550660117,0.448107921
WBGene00002137,-0.384095411,-0.363532967,0.058686537
WBGene00002138,-0.524626545,-0.44863837,0.100014941
WBGene00002139,-0.295198568,-0.334394081,0.176236
WBGene00002147,-0.770187843,-0.138310075,-0.048022518
WBGene00002163,-0.601216786,-0.692951787,0.376608525
WBGene00002174,-0.388612986,-0.374824437,-0.164542348
WBGene00002181,0.283836587,0.126721744,-0.175602919
WBGene00002183,-0.502068371,-0.516574773,-0.311349263
WBGene00002187,0.261974622,0.185710589,0.020548022
WBGene00002188,-0.977457751,-1.208074786,0.479976046
WBGene00002200,-0.469055629,-0.619066089,0.401541674
WBGene00002234,-0.58416584,-0.469922,-0.206899924
WBGene00002238,-1.088360547,-1.134406379,-0.582154494
WBGene00002249,0.207333084,0.273737116,-0.018833095
WBGene00002253,-0.552844162,-0.578251182,0.316640404
WBGene00002255,0.442859271,0.438574145,-0.384442907
WBGene00002258,-1.13321559,-1.314680499,-0.398502216
WBGene00002259,0.711289286,0.712310283,-0.529299159
WBGene00002263,-0.528719591,-0.598595654,0.37275084
WBGene00002264,-0.323589082,-0.399987938,-0.069925971
WBGene00002265,0.376896142,0.442982813,-0.518124552
WBGene00002268,-0.775643099,-0.869589951,-0.177227471
WBGene00002269,-0.89303888,-0.872446622,-0.286262148
WBGene00002272,-0.415506543,-0.378917325,0.73064566
WBGene00002601,-0.573362025,-0.182764684,-0.601398434
WBGene00002827,1.294192491,1.213777181,-0.255733074
WBGene00002855,-0.334990456,-0.336401446,0.10294819
WBGene00002879,0.386430457,0.328772358,-0.170299378
WBGene00002891,-0.66104589,-0.681227485,-0.175968322
WBGene00002979,0.32830506,0.268756765,0.018456467
WBGene00003015,0.796179908,0.724276595,-0.012926043
WBGene00003061,0.226665728,0.118106489,0.109995668
WBGene00003063,0.242167754,0.502783706,0.47322447
WBGene00003073,0.336463613,0.58062653,0.674389133
WBGene00003091,-1.908272185,-1.550428747,1.091080261
WBGene00003093,1.027039553,0.92835352,0.337559612
WBGene00003094,1.531761009,1.640482698,-0.782952062
WBGene00003096,-3.795626601,-2.34416106,-0.38390042
WBGene00003097,-0.409196903,-0.257174886,-0.361706066
WBGene00003112,0.313145659,0.239552266,-0.57188549
WBGene00003143,0.219546907,0.139630884,0.118205583
WBGene00003162,0.59417274,0.504272572,-0.124881325
WBGene00003171,0.42504769,0.193431224,0.008887242
WBGene00003175,0.333772113,0.151902475,0.041477188
WBGene00003210,-0.363124086,-0.397777998,0.127507877
WBGene00003214,-0.608722288,-0.653331141,0.332532591
WBGene00003233,0.405291139,0.400700248,0.039578301
WBGene00003237,0.98514835,0.769812384,0.539965557
WBGene00003238,0.281772045,0.207896478,-0.27364967
WBGene00003247,0.239998039,0.195341707,-0.20092219
WBGene00003252,-1.152614637,-1.172609975,1.229701269
WBGene00003384,-0.425811909,-0.267289371,0.592048591
WBGene00003387,0.337803792,0.255940557,-0.120062562
WBGene00003388,0.654466223,0.445133598,-0.264684602
WBGene00003402,0.457268128,0.452201909,-0.344854978
WBGene00003409,-0.48537934,-0.414188156,0.033646389
WBGene00003411,0.414608646,0.68196622,-0.576807814
WBGene00003473,-4.767916689,-5.109533151,1.344699205
WBGene00003474,1.324107048,1.223734797,-1.073685709
WBGene00003485,0.698536433,0.676122945,-0.474176231
WBGene00003515,-0.79078791,-0.736274482,-0.955060157
WBGene00003517,0.515684846,0.501691862,-0.60820239
WBGene00003522,2.063205674,1.861122616,-0.616359749
WBGene00003525,0.666882396,0.967896385,-1.45563162
WBGene00003526,-0.80383121,-0.807061251,-0.135067786
WBGene00003528,-1.063243271,-0.840306772,1.274482219
WBGene00003548,-1.65611035,-1.996810125,-0.014742744
WBGene00003555,0.733478383,0.750985489,0.12371838
WBGene00003568,0.322375368,0.419394476,-0.100883603
WBGene00003571,1.402049391,1.331642185,-0.711830558
WBGene00003577,0.56421997,0.561015455,-0.3225172
WBGene00003596,0.240156678,0.478654439,0.702652163
WBGene00003597,0.389063071,0.507461801,-0.091306936
WBGene00003602,-0.804700501,-0.752323646,-0.920825349
WBGene00003608,-1.544791614,-2.000088074,-0.640161123
WBGene00003619,-0.283324392,-0.154435937,-0.360619543
WBGene00003620,0.878774542,0.818391116,-0.614212424
WBGene00003626,0.350153247,0.450048407,-0.346440334
WBGene00003627,-0.373653188,-0.303565401,0.451730152
WBGene00003633,-0.479133549,-0.404971773,-0.344257082
WBGene00003648,-0.912658598,-1.008979317,-1.457364996
WBGene00003651,-0.547703478,-0.533889612,-0.140290299
WBGene00003652,-0.670313586,-0.544849345,0.605431577
WBGene00003658,-1.388403376,-1.629240667,0.503120917
WBGene00003674,-0.384695993,-0.212812116,-0.439620797
WBGene00003677,0.318672909,0.392502203,-0.39898482
WBGene00003689,0.322458956,0.173039794,-0.174722462
WBGene00003696,-0.562474849,-0.328926627,-0.253283697
WBGene00003704,-0.864839802,-0.823146456,-0.215880892
WBGene00003705,0.698947891,0.534756988,-0.143912988
WBGene00003707,0.324011437,0.424974945,-0.517803288
WBGene00003723,-0.431117401,-0.107302919,0.448418244
WBGene00003739,0.335168903,0.348621621,0.00825439
WBGene00003740,-0.664791744,-0.409201215,0.111812393
WBGene00003747,0.422886992,0.348409314,-0.295735956
WBGene00003749,0.518476164,0.509246214,-0.038526917
WBGene00003750,0.79032154,0.457417269,-0.722979916
WBGene00003752,0.268708694,0.244900525,0.192847412
WBGene00003753,0.387485778,0.282625078,-0.053398853
WBGene00003758,0.599151582,0.518783764,0.484873117
WBGene00003764,-1.181646934,-1.339595591,-2.046911046
WBGene00003765,-0.711325523,-0.412781472,0.488401244
WBGene00003766,-1.901483261,-1.3590151,0.343002831
WBGene00003767,-1.013835958,-0.609276253,0.794363703
WBGene00003769,-0.679325854,-0.413566641,1.013045367
WBGene00003778,-2.632669021,-2.351455569,0.189309213
WBGene00003786,-1.110289972,-0.989205416,-0.1370463
WBGene00003821,0.2130603,0.510576173,0.492086734
WBGene00003828,0.694168628,1.009441547,-0.593781463
WBGene00003844,-0.463865618,-0.264539405,-0.337771216
WBGene00003877,0.373038022,0.550440714,-0.876143241
