Kaplan down,Kaplan up,Tepper class I,Tepper class II,double_daf2_down,double_daf2_up,,
col-159,col-107,WBGene00003473,WBGene00005019,WBGene00018174,WBGene00000784,,
col-117,T23B3.6,WBGene00018602,WBGene00021334,WBGene00008905,WBGene00015403,,
col-108,aat-2,WBGene00019978,WBGene00004152,WBGene00001852,WBGene00022642,,
col-3,tomm-7,WBGene00001500,WBGene00016998,WBGene00219313,WBGene00009908,,
col-157,nhr-21,WBGene00003096,WBGene00003825,WBGene00008850,WBGene00000785,,
F32B5.1,nhx-2,WBGene00011869,WBGene00010822,WBGene00003473,WBGene00020326,,
ctl-1,fbl-1,WBGene00016052,WBGene00002225,WBGene00012398,WBGene00000781,,
ZK177.2,C16A3.5,WBGene00018195,WBGene00019608,WBGene00000782,WBGene00011798,,
H39E23.3,misc-1,WBGene00019780,WBGene00021109,WBGene00001694,WBGene00219216,,
F31E3.6,tag-260,WBGene00001685,WBGene00020883,WBGene00011362,WBGene00017364,,
ptc-2,W08E12.7,WBGene00077701,WBGene00019933,WBGene00018602,WBGene00000007,,
col-146,tag-60,WBGene00001684,WBGene00009907,WBGene00017374,WBGene00009237,,
Y9D1A.2,F45D3.4,WBGene00011362,WBGene00018017,WBGene00009835,WBGene00016782,,
F35E8.13,F27D9.2,WBGene00016716,WBGene00008221,WBGene00017128,WBGene00016781,,
F29G9.1,T07D4.2,WBGene00012404,WBGene00012591,WBGene00002113,WBGene00017592,,
col-92,xbx-5,WBGene00001397,WBGene00010496,WBGene00020135,WBGene00018850,,
fbxa-151,oac-46,WBGene00000929,WBGene00016140,WBGene00001751,WBGene00044296,,
srp-5,vha-13,WBGene00008296,WBGene00016663,WBGene00015393,WBGene00015913,,
Y73B3B.1,ima-2,WBGene00013972,WBGene00017732,WBGene00009028,WBGene00008042,,
numr-2,let-607,WBGene00017336,WBGene00003158,WBGene00015116,WBGene00044455,,
Y105C5A.13,K07C5.4,WBGene00007440,WBGene00016335,WBGene00012404,WBGene00020989,,
D1086.9,kin-19,WBGene00019472,WBGene00000211,WBGene00019376,WBGene00020258,,
F44E5.5,C46H11.2,WBGene00009803,WBGene00016844,WBGene00044471,WBGene00021070,,
col-145,lon-1,WBGene00017303,WBGene00013192,WBGene00021089,WBGene00019931,,
col-170,K09E9.1,WBGene00019719,WBGene00011839,WBGene00013904,WBGene00009857,,
his-2,K10C3.4,WBGene00016848,WBGene00011622,WBGene00018917,WBGene00020393,,
C47C12.4,hmit-1.3,WBGene00018174,WBGene00010636,WBGene00045338,WBGene00021743,,
col-13,C10E2.6,WBGene00015116,WBGene00006405,WBGene00020909,WBGene00020016,,
Y50D4C.2,C50F4.8,WBGene00013079,WBGene00004461,WBGene00000102,WBGene00022610,,
K08F11.2,fat-2,WBGene00043187,WBGene00015308,WBGene00002109,WBGene00009343,,
his-8,F17C11.12,WBGene00022713,WBGene00000101,WBGene00022497,WBGene00009048,,
K06B9.2,F11C7.2,WBGene00008446,WBGene00006734,WBGene00016302,WBGene00015828,,
col-125,ZK822.5,WBGene00004997,WBGene00021352,WBGene00011841,WBGene00017969,,
Y73B3A.18,ulp-4,WBGene00019803,WBGene00015894,WBGene00000656,WBGene00019605,,
F44E5.4,W01A11.7,WBGene00020397,WBGene00003635,WBGene00008044,WBGene00003957,,
col-169,mrp-7,WBGene00015044,WBGene00004879,WBGene00001692,WBGene00013073,,
Y46H3C.4,pgp-1,WBGene00010790,WBGene00007366,WBGene00011733,WBGene00016644,,
T23F4.1,srsx-34,WBGene00008341,WBGene00004201,WBGene00008296,WBGene00011852,,
Y73B3A.12,mec-7,WBGene00020909,WBGene00021015,WBGene00000975,WBGene00019105,,
col-180,ifc-2,WBGene00004798,WBGene00018169,WBGene00017673,WBGene00006404,,
col-93,ghi-1,WBGene00004932,WBGene00005467,WBGene00014047,WBGene00009347,,
nspc-19,Y49E10.18,WBGene00018448,WBGene00002249,WBGene00007452,WBGene00015839,,
F15A4.8,M03B6.2,WBGene00016097,WBGene00013710,WBGene00017621,WBGene00018803,,
his-7,T14C1.1,WBGene00001564,WBGene00015912,WBGene00009430,WBGene00019977,,
B0564.4,C56G2.1,WBGene00007363,WBGene00007112,WBGene00003778,WBGene00007875,,
F42G8.8,glc-1,WBGene00007452,WBGene00009922,WBGene00021222,WBGene00044696,,
nspc-3,mdt-15,WBGene00013888,WBGene00004753,WBGene00017443,WBGene00009984,,
nspc-12,lam-1,WBGene00001852,WBGene00021427,WBGene00004932,WBGene00009518,,
C33E10.10,glc-2,WBGene00001841,WBGene00011488,WBGene00015067,WBGene00009859,,
ctl-3,F01F1.9,WBGene00008040,WBGene00021830,WBGene00020946,WBGene00021335,,
spp-11,Y38F1A.8,WBGene00013887,WBGene00009116,WBGene00011158,WBGene00013266,,
F10E7.11,lin-41,WBGene00004068,WBGene00008514,WBGene00016970,WBGene00020453,,
Y23H5A.8,far-8,WBGene00017621,WBGene00016408,WBGene00001758,WBGene00020128,,
ZC196.2,trm-1,WBGene00011733,WBGene00003014,WBGene00000973,WBGene00015756,,
col-133,F35E12.8,WBGene00011232,WBGene00019148,WBGene00001752,WBGene00023490,,
fbxa-92,prmt-6,WBGene00019376,WBGene00016701,WBGene00011539,WBGene00012747,,
cyp-25A1,flp-10,WBGene00006603,WBGene00007258,WBGene00003091,WBGene00007331,,
F17B5.1,mod-5,WBGene00018200,WBGene00022110,WBGene00011052,WBGene00017681,,
col-43,C54G10.4,WBGene00003778,WBGene00003953,WBGene00009033,WBGene00010125,,
sod-3,K12H4.7,WBGene00017970,WBGene00013441,WBGene00020329,WBGene00020878,,
fbxa-26,K10D6.4,WBGene00016894,WBGene00003561,WBGene00002088,WBGene00022130,,
sams-5,insc-1,WBGene00001391,WBGene00018156,WBGene00017336,WBGene00005002,,
H04D03.3,Y57A10A.26,WBGene00011894,WBGene00021141,WBGene00015236,WBGene00016004,,
Y116A8A.4,D1025.10,WBGene00018460,WBGene00001056,WBGene00012810,WBGene00008565,,
F19G12.1,H34C03.2,WBGene00023425,WBGene00009685,WBGene00003965,WBGene00011803,,
F59H6.3,pmt-1,WBGene00044045,WBGene00010044,WBGene00019153,WBGene00194815,,
lipl-4,alr-1,WBGene00001752,WBGene00022232,WBGene00004996,WBGene00009087,,
C55A1.7,C16E9.1,WBGene00019730,WBGene00012259,WBGene00007174,WBGene00009856,,
nspe-3,C29F4.2,WBGene00013078,WBGene00015229,WBGene00009626,WBGene00006979,,
math-50,C53D5.5,WBGene00002263,WBGene00001596,WBGene00019464,WBGene00000799,,
F09E5.10,ugt-2,WBGene00000535,WBGene00015034,WBGene00009805,WBGene00001395,,
K09B11.5,F45E10.2,WBGene00020593,WBGene00019998,WBGene00013882,WBGene00008741,,
col-168,nrf-6,WBGene00012122,WBGene00003020,WBGene00044201,WBGene00017101,,
T26E3.7,ptr-24,WBGene00015947,WBGene00005291,WBGene00008396,WBGene00009493,,
ZK402.3,cwn-1,WBGene00044284,WBGene00014119,WBGene00010128,WBGene00001394,,
B0511.2,F59F4.1,WBGene00000989,WBGene00011962,WBGene00005703,WBGene00007605,,
col-119,T28F4.1,WBGene00013481,WBGene00010953,WBGene00008654,WBGene00016939,,
sknr-1,tag-52,WBGene00022597,WBGene00001568,WBGene00008567,WBGene00010749,,
col-154,glt-1,WBGene00021183,WBGene00000939,WBGene00013060,WBGene00021268,,
K02F6.8,ncx-2,WBGene00021079,WBGene00015025,WBGene00008679,WBGene00012546,,
W02D7.11,pbo-5,WBGene00019464,WBGene00007393,WBGene00002110,WBGene00006431,,
fbxc-8,F01F1.3,WBGene00018532,WBGene00015091,WBGene00012492,WBGene00001446,,
F35F10.4,fig-1,WBGene00000551,WBGene00010136,WBGene00020741,WBGene00008602,,
Y108F1.5,pmp-1,WBGene00011870,WBGene00013956,WBGene00008436,WBGene00015710,,
F49C5.3,eif-3.H,WBGene00019232,WBGene00013653,WBGene00008575,WBGene00020788,,
T02B5.1,D2005.6,WBGene00010377,WBGene00011122,WBGene00016886,WBGene00019674,,
C38D9.5,ZK550.6,WBGene00017659,WBGene00010616,WBGene00008040,WBGene00271812,,
plp-2,clc-3,WBGene00018400,WBGene00019940,WBGene00020343,WBGene00015322,,
C32H11.7,mrp-5,WBGene00014213,WBGene00013092,WBGene00000108,WBGene00044332,,
mtl-1,F12B6.2,WBGene00003524,WBGene00001031,WBGene00021134,WBGene00008596,,
