Strain,Worm,Rep,Days_Starved,Tp1,Tp2,Tp3,Tp4,Tp5,Tp6,Tp7,Total
WT,1,8,1,85,182,32,1,1,1,0,302
WT,2,8,1,88,164,22,24,7,6,0,311
WT,3,8,1,91,152,34,2,1,0,0,280
WT,4,8,1,69,155,69,1,1,0,0,295
WT,5,8,1,73,149,46,10,2,0,0,280
WT,6,8,1,86,166,26,10,1,0,0,289
WT,7,8,1,87,164,31,26,4,0,0,312
WT,8,8,1,89,159,53,23,2,0,0,326
WT,9,8,1,48,126,55,3,0,0,0,232
WT,10,8,1,67,154,40,0,0,0,0,261
WT,11,8,1,78,149,16,1,0,0,0,244
WT,12,8,1,73,140,46,1,0,0,0,260
WT,13,8,1,46,123,99,3,1,0,0,272
WT,14,8,1,73,155,32,2,3,0,0,265
WT,15,8,1,82,164,57,9,0,0,0,312
WT,16,8,1,83,146,8,14,4,0,0,255
WT,17,8,1,88,158,51,NA,NA,NA,NA,297
WT,18,8,1,82,148,72,0,0,0,0,302
daf-2,1,8,1,0,39,68,50,14,14,5,190
daf-2,2,8,1,0,50,55,19,16,3,1,144
daf-2,3,8,1,0,33,50,63,41,41,0,228
daf-2,4,8,1,0,50,60,51,32,22,7,222
daf-2,5,8,1,0,24,65,59,41,27,21,237
daf-2,6,8,1,0,34,64,39,13,4,0,154
daf-2,7,8,1,0,31,52,NA,NA,NA,NA,83
daf-2,8,8,1,0,41,51,52,33,32,5,214
daf-2,9,8,1,0,33,50,61,36,18,1,199
daf-2,10,8,1,0,34,50,41,28,19,4,176
daf-2,11,8,1,0,0,NA,NA,NA,NA,NA,0
daf-2,12,8,1,0,37,54,38,13,2,0,144
daf-2,13,8,1,0,37,51,7,8,11,2,116
daf-2,14,8,1,0,43,49,54,38,20,1,205
daf-2,15,8,1,0,27,36,35,17,9,1,125
daf-2,16,8,1,0,26,43,39,26,27,8,169
daf-2,17,8,1,0,30,56,52,45,43,26,252
daf-2,18,8,1,0,0,34,35,3,42,38,152
daf-16; daf-2,1,8,1,55,159,70,0,0,0,0,284
daf-16; daf-2,2,8,1,55,157,39,1,0,0,0,252
daf-16; daf-2,3,8,1,55,172,45,0,0,0,0,272
daf-16; daf-2,4,8,1,62,162,64,1,0,0,0,289
daf-16; daf-2,5,8,1,71,166,90,1,0,0,0,328
daf-16; daf-2,6,8,1,55,165,56,0,0,0,0,276
daf-16; daf-2,7,8,1,63,152,67,1,0,0,0,283
daf-16; daf-2,8,8,1,21,115,62,0,0,0,0,198
daf-16; daf-2,9,8,1,62,184,38,0,0,0,0,284
daf-16; daf-2,10,8,1,74,161,72,0,0,0,0,307
daf-16; daf-2,11,8,1,41,114,42,2,0,0,0,199
daf-16; daf-2,12,8,1,42,161,62,0,0,0,0,265
daf-16; daf-2,13,8,1,63,145,19,1,0,0,0,228
daf-16; daf-2,14,8,1,58,147,58,0,0,0,0,263
daf-16; daf-2,15,8,1,44,172,33,0,0,0,0,249
daf-16; daf-2,16,8,1,36,147,44,2,0,0,0,229
daf-16; daf-2,17,8,1,51,172,67,0,0,0,0,290
daf-16; daf-2,18,8,1,0,0,NA,NA,NA,NA,NA,0
daf-16,1,8,1,102,151,34,0,0,0,0,287
daf-16,2,8,1,109,172,9,0,0,0,0,290
daf-16,3,8,1,95,133,6,0,0,0,0,234
daf-16,4,8,1,96,154,36,0,0,0,0,286
daf-16,5,8,1,101,153,19,3,0,0,0,276
daf-16,6,8,1,116,180,28,0,0,0,0,324
daf-16,7,8,1,111,160,22,0,0,0,0,293
daf-16,8,8,1,79,148,99,10,0,0,0,336
daf-16,9,8,1,95,159,24,0,0,0,0,278
daf-16,10,8,1,74,142,40,0,0,0,0,256
daf-16,11,8,1,98,166,35,3,0,0,0,302
daf-16,12,8,1,101,187,40,0,0,0,0,328
daf-16,13,8,1,77,71,4,2,0,0,0,154
daf-16,14,8,1,109,152,14,0,0,0,0,275
daf-16,15,8,1,108,176,63,0,0,0,0,347
daf-16,16,8,1,96,146,11,0,0,0,0,253
daf-16,17,8,1,98,173,66,3,0,0,0,340
daf-16,18,8,1,101,171,22,11,0,0,0,305
WT,1,8,6,72,143,9,3,0,0,0,227
WT,2,8,6,NA,NA,NA,NA,NA,NA,NA,0
WT,3,8,6,17,33,0,0,0,0,0,50
WT,4,8,6,65,201,64,1,0,0,0,331
WT,5,8,6,26,60,17,20,13,17,0,153
WT,6,8,6,NA,NA,NA,NA,NA,NA,NA,0
WT,7,8,6,18,76,6,0,0,0,0,100
WT,8,8,6,47,167,76,2,1,0,0,293
WT,9,8,6,20,127,33,0,0,0,0,180
WT,10,8,6,29,39,3,0,0,0,0,71
WT,11,8,6,NA,NA,NA,NA,NA,NA,NA,0
WT,12,8,6,0,19,24,16,9,11,0,79
WT,13,8,6,8,49,16,0,0,0,0,73
WT,14,8,6,13,69,58,43,5,0,0,188
WT,15,8,6,44,149,86,1,0,0,0,280
WT,16,8,6,56,135,60,35,0,0,0,286
WT,17,8,6,24,132,95,3,0,0,0,254
WT,18,8,6,19,70,24,0,0,0,0,113
daf-2,1,8,6,0,26,74,51,43,22,5,221
daf-2,2,8,6,0,20,51,62,27,22,8,190
daf-2,3,8,6,0,38,62,56,18,8,2,184
daf-2,4,8,6,0,35,50,53,52,20,8,218
daf-2,5,8,6,0,17,30,45,24,8,2,126
daf-2,6,8,6,0,29,49,60,39,21,9,207
daf-2,7,8,6,0,27,64,83,69,33,17,293
daf-2,8,8,6,0,36,56,50,39,25,8,214
daf-2,9,8,6,0,9,16,0,0,0,0,25
daf-2,10,8,6,0,29,56,66,41,28,9,229
daf-2,11,8,6,0,5,18,25,24,14,2,88
daf-2,12,8,6,0,12,51,61,45,26,20,215
daf-2,13,8,6,0,15,22,33,11,1,0,82
daf-2,14,8,6,0,32,57,66,41,21,3,220
daf-2,15,8,6,0,5,7,0,0,0,0,12
daf-2,16,8,6,0,24,54,48,25,30,17,198
daf-2,17,8,6,0,11,43,42,34,26,3,159
daf-2,18,8,6,0,27,43,57,35,20,2,184
daf-16; daf-2,1,8,6,8,46,40,2,0,0,0,96
daf-16; daf-2,2,8,6,5,158,127,21,0,0,0,311
daf-16; daf-2,3,8,6,0,161,92,3,0,0,0,256
daf-16; daf-2,4,8,6,7,183,113,7,0,0,0,310
daf-16; daf-2,5,8,6,0,102,145,30,2,0,0,279
daf-16; daf-2,6,8,6,4,179,72,5,0,0,0,260
daf-16; daf-2,7,8,6,2,182,58,1,0,0,0,243
daf-16; daf-2,8,8,6,0,155,65,1,0,0,0,221
daf-16; daf-2,9,8,6,5,156,140,40,1,0,0,342
daf-16; daf-2,10,8,6,5,191,120,13,2,0,0,331
daf-16; daf-2,11,8,6,4,148,68,4,0,0,0,224
daf-16; daf-2,12,8,6,0,122,125,28,0,0,0,275
daf-16; daf-2,13,8,6,0,21,35,22,4,0,0,82
daf-16; daf-2,14,8,6,12,167,68,2,0,0,0,249
daf-16; daf-2,15,8,6,0,37,32,0,0,0,0,69
daf-16; daf-2,16,8,6,0,45,93,72,12,1,0,223
daf-16; daf-2,17,8,6,0,15,60,57,24,11,0,167
daf-16; daf-2,18,8,6,0,117,99,13,1,0,0,230
daf-16,1,8,6,36,185,47,2,0,0,0,270
daf-16,2,8,6,49,171,0,23,2,0,0,245
daf-16,3,8,6,2,120,111,57,2,0,0,292
daf-16,4,8,6,16,115,45,32,0,0,0,208
daf-16,5,8,6,0,98,83,20,3,0,0,204
daf-16,6,8,6,0,107,119,34,1,0,0,261
daf-16,7,8,6,24,158,65,8,0,0,0,255
daf-16,8,8,6,45,149,49,44,7,0,0,294
