Strain,day,replicate,pass,volume,length,middleWidth,meanWidth,surfaceArea,,,,,,,,,,
WT,1,7,TRUE,2299.908656,830.9036766,68.76386369,55.51703324,148031.6566,,,,,,,,,,
WT,1,7,FALSE,3277.034503,846.8078573,85.02633309,67.09581675,181528.6065,,,,,,,,,,
WT,1,7,TRUE,1795.789851,810.8552172,62.51260335,50.29705788,128183.9778,,,,,,,,,,
WT,1,7,FALSE,1721.297687,744.3284569,66.45180888,50.84202871,120804.3258,,,,,,,,,,
WT,1,7,TRUE,1872.93819,835.1018535,61.56777412,50.9225856,134136.6936,,,,,,,,,,
WT,1,7,FALSE,8.692735427,52.82157119,0,8.840617148,2293.079495,,,,,,,,,,
WT,1,7,FALSE,83.75445379,121.0491615,37.50756201,21.83931226,10767.15707,,,,,,,,,,
WT,1,7,TRUE,2107.486559,828.0540763,63.75059687,53.38564688,139491.5083,,,,,,,,,,
WT,1,7,FALSE,47.25089673,138.1941225,27.95648611,15.69044238,8218.084765,,,,,,,,,,
WT,1,7,TRUE,2572.426845,874.0881138,78.32806749,57.37034966,159386.7573,,,,,,,,,,
WT,1,7,TRUE,2715.823593,876.6235724,71.2753341,58.75423841,164155.5537,,,,,,,,,,
WT,1,7,TRUE,3055.1766,987.94359,75.01512402,60.02211035,185482.8601,,,,,,,,,,
WT,1,7,TRUE,2900.09223,894.174685,75.01512402,61.27066917,173010.5367,,,,,,,,,,
WT,1,7,TRUE,2022.675995,885.5180878,62.51260335,50.96222925,143658.0086,,,,,,,,,,
WT,1,7,FALSE,120.1378738,145.9621929,25.77460666,23.01123435,13676.69694,,,,,,,,,,
WT,1,7,TRUE,1565.884137,859.0343481,62.51260335,45.01413337,123531.975,,,,,,,,,,
WT,1,7,FALSE,217.0961343,178.2910413,45.50986219,31.42971885,20784.71592,,,,,,,,,,
WT,1,7,FALSE,15.81597145,73.94257731,13.97824305,9.938212427,3576.30265,,,,,,,,,,
WT,1,7,FALSE,124.5405703,215.0401982,41.93472916,20.11798813,16131.43292,,,,,,,,,,
WT,1,7,FALSE,1550.547447,728.700306,65.26507397,49.3347695,112996.8748,,,,,,,,,,
WT,1,7,FALSE,15.86157942,103.5900589,19.76822091,9.630500478,4034.313688,,,,,,,,,,
WT,1,7,TRUE,2074.602146,863.0103933,56.26134302,52.69943197,144183.2073,,,,,,,,,,
WT,1,7,FALSE,937.521461,455.5297012,56.26134302,47.66472962,69361.26089,,,,,,,,,,
WT,1,7,TRUE,2640.24216,861.9378466,58.97427205,60.11623349,162629.1453,,,,,,,,,,
WT,1,7,TRUE,1391.794804,632.4340542,69.04742721,49.81315549,99555.41689,,,,,,,,,,
WT,1,7,TRUE,2916.344383,900.9241069,62.51260335,61.59467413,175223.4254,,,,,,,,,,
WT,1,7,TRUE,3060.93309,842.8318121,82.22249236,65.64706766,173382.184,,,,,,,,,,
WT,1,7,TRUE,1849.888796,862.3439982,59.30466272,49.59085321,135567.3522,,,,,,,,,,
WT,1,7,TRUE,2316.183457,863.8989201,71.2753341,56.30122907,150352.7468,,,,,,,,,,
WT,1,7,TRUE,2720.222229,860.7732899,73.16912629,60.87301863,163692.9697,,,,,,,,,,
WT,1,7,FALSE,11.52956876,61.66218834,0,9.318828703,2771.251663,,,,,,,,,,
WT,1,7,FALSE,49.0335924,171.8176493,25.00504134,15.17722243,9509.529408,,,,,,,,,,
WT,1,7,FALSE,536.342529,590.8203252,25.77460666,31.03659686,59917.39428,,,,,,,,,,
WT,1,7,FALSE,99.91362903,183.6918866,35.36246859,20.17221806,14020.10563,,,,,,,,,,
WT,1,7,FALSE,102.7278216,197.266954,27.95648611,20.14859039,14955.49238,,,,,,,,,,
WT,1,7,FALSE,1005.067201,739.8161383,56.60756993,39.21925535,90440.24445,,,,,,,,,,
WT,1,7,FALSE,12.15203779,72.33375725,0,8.840617148,2962.976429,,,,,,,,,,
WT,1,7,FALSE,664.4607567,740.4444216,26.52185144,31.6991915,75095.26793,,,,,,,,,,
WT,1,7,FALSE,699.1291502,509.2397992,50.39927207,35.74169933,60770.17189,,,,,,,,,,
WT,1,7,TRUE,1908.964832,798.5367164,64.36066433,52.49131171,132415.4806,,,,,,,,,,
WT,1,7,TRUE,1945.712371,848.8990525,56.60756993,50.38026712,136688.6276,,,,,,,,,,
WT,1,7,FALSE,117.755524,193.5130405,35.36246859,21.41718172,15644.92085,,,,,,,,,,
WT,1,7,FALSE,2084.477506,477.056859,81.26638436,67.13381743,108504.5323,,,,,,,,,,
WT,1,7,FALSE,729.7516358,754.3336307,33.66406716,32.21375609,78026.25873,,,,,,,,,,
WT,1,7,TRUE,2407.28767,911.0055043,71.2753341,54.43647018,158936.6586,,,,,,,,,,
WT,1,7,TRUE,2117.031534,863.232525,66.45180888,52.19299922,143063.8524,,,,,,,,,,
WT,1,7,FALSE,680.7014519,322.5142924,55.91297222,45.03485958,51590.82616,,,,,,,,,,
WT,1,7,FALSE,1712.266085,639.7578612,63.75059687,54.6978335,112957.2854,,,,,,,,,,
WT,1,7,FALSE,33.72381546,102.0732488,18.75378101,13.9066858,6378.006182,,,,,,,,,,
WT,1,7,FALSE,45.78529301,80.9522427,38.02493213,17.92224982,6861.138213,,,,,,,,,,
WT,1,7,FALSE,0,34.60406354,0,0,0,,,,,,,,,,
WT,1,7,TRUE,1450.521303,814.9232723,67.32813431,43.68447954,111374.5493,,,,,,,,,,
WT,1,7,FALSE,2102.042656,757.6813926,63.75059687,55.37708757,135605.2262,,,,,,,,,,
WT,1,7,FALSE,5.023758193,47.10658421,0,7.513079892,1630.125246,,,,,,,,,,
WT,1,7,FALSE,465.6459658,624.9801254,37.50756201,28.13969363,55738.10242,,,,,,,,,,
WT,1,7,FALSE,1.816058126,46.34817916,0,4.16750689,912.4385462,,,,,,,,,,
WT,1,7,FALSE,557.078656,754.7778941,19.76822091,28.57058706,68578.92674,,,,,,,,,,
WT,1,7,FALSE,974.2557209,539.6995841,58.97427205,44.30326243,78165.7363,,,,,,,,,,
WT,1,7,TRUE,2688.095758,820.6763711,76.30635695,61.59577449,159214.8625,,,,,,,,,,
WT,1,7,TRUE,3476.088964,897.3923251,88.40617148,66.98293145,188545.6793,,,,,,,,,,
WT,1,7,TRUE,2694.797925,878.3244025,73.16912629,58.55729736,163592.4074,,,,,,,,,,
WT,1,7,TRUE,2717.324411,832.4204867,69.04742721,60.4874412,160703.023,,,,,,,,,,
WT,1,7,TRUE,2488.927147,885.9623512,69.89121527,56.79580846,160435.6768,,,,,,,,,,
WT,1,7,TRUE,3277.875028,901.4603803,75.27514256,65.47983369,184511.8174,,,,,,,,,,
WT,1,7,FALSE,1544.789035,787.0147325,56.26134302,47.23883715,117878.2711,,,,,,,,,,
WT,1,7,FALSE,231.7951271,343.7654202,25.00504134,24.80926047,29220.20667,,,,,,,,,,
WT,1,7,TRUE,1786.933723,825.5948412,59.30466272,48.043581,128961.046,,,,,,,,,,
WT,1,7,FALSE,640.7303056,551.0756598,36.4507983,34.73398328,63724.21618,,,,,,,,,,
WT,1,7,FALSE,15.89614299,80.10182769,0,9.318828703,3627.048229,,,,,,,,,,
WT,1,7,FALSE,1205.825682,678.3760817,45.07847935,43.79725682,96956.31915,,,,,,,,,,
WT,1,7,FALSE,10.25969928,84.30000456,13.97824305,7.914869338,2992.931123,,,,,,,,,,
WT,1,7,FALSE,0,37.72969371,0,0,0,,,,,,,,,,
WT,1,7,FALSE,63.17347294,102.5175122,35.36246859,18.7247276,8510.393736,,,,,,,,,,
WT,1,7,FALSE,6783.668924,580.3503442,61.56777412,93.53674013,221446.2473,,,,,,,,,,
WT,1,7,TRUE,2309.898252,819.4737026,69.04742721,54.19810828,144796.5824,,,,,,,,,,
WT,1,7,TRUE,1740.792669,822.561221,56.60756993,49.27100272,129126.3508,,,,,,,,,,
WT,1,7,TRUE,1742.574591,852.1166927,62.82438884,48.22540432,129520.422,,,,,,,,,,
WT,1,7,FALSE,44.35428166,77.29033918,27.95648611,16.87323198,6594.547272,,,,,,,,,,
WT,1,7,FALSE,14.78711288,90.86540656,25.77460666,9.569281831,3617.129749,,,,,,,,,,
WT,1,7,FALSE,746.5728484,674.0477831,50.39927207,32.70437434,71097.87013,,,,,,,,,,
WT,1,7,FALSE,1288.851221,758.2557777,41.93472916,43.38596639,106227.288,,,,,,,,,,
WT,1,7,FALSE,14.18748621,136.141039,12.50252067,8.258604136,4379.068746,,,,,,,,,,
WT,1,7,TRUE,1689.829638,910.8753825,62.82438884,43.33662208,125498.9698,,,,,,,,,,
WT,1,7,FALSE,1404.600954,702.7147279,63.75059687,46.57809365,104854.8772,,,,,,,,,,
WT,1,7,TRUE,1929.404197,879.6190809,53.77537473,50.18283499,137690.4524,,,,,,,,,,
WT,1,7,FALSE,53.76054122,112.6528078,36.4507983,16.92677499,7978.817186,,,,,,,,,,
WT,1,7,FALSE,178.033715,164.5858522,43.75882235,27.75806293,18921.04223,,,,,,,,,,
WT,1,7,FALSE,473.2135011,260.7600941,57.63377257,38.48781781,38775.61941,,,,,,,,,,
WT,1,7,FALSE,27.8134496,129.3535053,13.97824305,11.70132614,5932.461913,,,,,,,,,,
WT,1,7,FALSE,170.7016427,95.50784683,58.97427205,32.56240154,15525.92944,,,,,,,,,,
WT,1,7,FALSE,56.47655638,117.6093897,22.53923967,16.83195859,8694.696959,,,,,,,,,,
WT,1,7,FALSE,157.8003999,200.8368476,31.25630168,24.23128808,19406.79694,,,,,,,,,,
WT,1,7,FALSE,19.04304198,94.43530012,17.6812343,10.05511849,4377.36637,,,,,,,,,,
WT,1,7,FALSE,13.49177628,72.33375725,0,9.318828703,3147.384738,,,,,,,,,,
WT,1,7,FALSE,57.92002395,78.58501758,25.77460666,18.34569675,7773.707376,,,,,,,,,,
WT,1,7,FALSE,5.410530345,58.31442647,0,6.589406969,1755.758383,,,,,,,,,,
WT,1,7,FALSE,5.34E+07,3935.060585,4425.892317,4061.155841,8.63E+07,,,,,,,,,,
WT,1,7,FALSE,5.08E+07,3442.956499,5128.400022,4219.615829,1.06E+08,,,,,,,,,,
WT,1,7,FALSE,1.725088414,46.34817916,0,4.16750689,869.6572798,,,,,,,,,,
WT,1,7,FALSE,5.73E+07,1967.506613,7673.737164,5770.052395,1.25E+08,,,,,,,,,,
WT,1,7,FALSE,0,32.55098008,0,0,0,,,,,,,,,,
WT,1,7,FALSE,1.044029435,52.59943949,0,2.946872383,719.6660421,,,,,,,,,,
WT,1,7,TRUE,1229.857333,881.2660127,45.07847935,38.19282913,109425.0666,,,,,,,,,,
WT,1,7,FALSE,27.22370125,123.86065,13.97824305,11.25714073,5996.748602,,,,,,,,,,
WT,1,7,FALSE,32.23861788,185.7449701,22.53923967,11.36282668,7827.011197,,,,,,,,,,
WT,1,7,FALSE,15.87019473,67.37717532,0,10.41876723,3424.002016,,,,,,,,,,
WT,1,7,FALSE,158.7064738,258.7070106,18.75378101,22.95517466,21609.61454,,,,,,,,,,
WT,1,7,FALSE,16.6660417,57.24187977,0,11.78748953,3479.623973,,,,,,,,,,
WT,1,7,TRUE,1679.915755,749.5071705,58.97427205,49.65698665,119509.1634,,,,,,,,,,
WT,1,7,FALSE,959.3859863,666.907996,38.02493213,38.63426132,83050.49305,,,,,,,,,,
WT,1,7,TRUE,1767.206562,720.4879722,61.56777412,51.76133311,119841.821,,,,,,,,,,
